model,size,density,response,answer
anthropic/claude-sonnet-4,3,1.0,Abigail,Abigail
anthropic/claude-sonnet-4,3,1.0,Adam,Abigail
anthropic/claude-sonnet-4,3,1.0,Aaron,Aaron
anthropic/claude-sonnet-4,3,2.0,Aaron,Aaron
anthropic/claude-sonnet-4,3,2.0,Aaron,Aaron
anthropic/claude-sonnet-4,3,2.0,Abigail,Abigail
anthropic/claude-sonnet-4,3,3.0,Abigail,Abigail
anthropic/claude-sonnet-4,3,3.0,Adam,Abigail
anthropic/claude-sonnet-4,3,3.0,Adam,Adam
anthropic/claude-sonnet-4,3,4.0,Adam,Adam
anthropic/claude-sonnet-4,3,4.0,Adam,Adam
anthropic/claude-sonnet-4,3,4.0,Adam,Adam
anthropic/claude-sonnet-4,3,5.0,Adam,Abigail
anthropic/claude-sonnet-4,3,5.0,Aaron,Aaron
anthropic/claude-sonnet-4,3,5.0,Aaron,Aaron
anthropic/claude-sonnet-4,3,6.0,Adam,Abigail
anthropic/claude-sonnet-4,3,6.0,Adam,Adam
anthropic/claude-sonnet-4,3,6.0,Adam,Adam
anthropic/claude-sonnet-4,3,7.0,Adam,Abigail
anthropic/claude-sonnet-4,3,7.0,Aaron,Aaron
anthropic/claude-sonnet-4,3,7.0,Adam,Adam
anthropic/claude-sonnet-4,3,8.0,Adam,Adam
anthropic/claude-sonnet-4,3,8.0,Adam,Abigail
anthropic/claude-sonnet-4,3,8.0,Adam,Adam
anthropic/claude-sonnet-4,3,9.0,Aaron,Aaron
anthropic/claude-sonnet-4,3,9.0,Adam,Abigail
anthropic/claude-sonnet-4,3,9.0,Adam,Adam
anthropic/claude-sonnet-4,5,1.0,Adrian,Adrian
anthropic/claude-sonnet-4,5,1.0,Adam,Adam
anthropic/claude-sonnet-4,5,1.0,Adrian,Adrian
anthropic/claude-sonnet-4,5,2.0,Adam,Adam
anthropic/claude-sonnet-4,5,2.0,Adam,Adam
anthropic/claude-sonnet-4,5,2.0,Adrian,Adrian
anthropic/claude-sonnet-4,5,3.0,Adrian,Adrian
anthropic/claude-sonnet-4,5,3.0,Adrian,Adrian
anthropic/claude-sonnet-4,5,3.0,Adrian,Adrian
anthropic/claude-sonnet-4,5,4.0,Adam,Adam
anthropic/claude-sonnet-4,5,4.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,4.0,Adrian,Adrian
anthropic/claude-sonnet-4,5,5.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,5.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,5.0,Adrian,Adrian
anthropic/claude-sonnet-4,5,6.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,6.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,6.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,7.0,Abigail,Abigail
anthropic/claude-sonnet-4,5,7.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,7.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,8.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,8.0,Adam,Adam
anthropic/claude-sonnet-4,5,8.0,Abigail,Abigail
anthropic/claude-sonnet-4,5,9.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,9.0,Adriana,Adriana
anthropic/claude-sonnet-4,5,9.0,Adriana,Adriana
anthropic/claude-sonnet-4,7,1.0,Adriana,Adriana
anthropic/claude-sonnet-4,7,1.0,Albert,Albert
anthropic/claude-sonnet-4,7,1.0,Adriana,Adriana
anthropic/claude-sonnet-4,7,2.0,Alan,Alan
anthropic/claude-sonnet-4,7,2.0,Albert,Albert
anthropic/claude-sonnet-4,7,2.0,Alan,Alan
anthropic/claude-sonnet-4,7,3.0,Alan,Alan
anthropic/claude-sonnet-4,7,3.0,Alan,Alan
anthropic/claude-sonnet-4,7,3.0,Albert,Albert
anthropic/claude-sonnet-4,7,4.0,Alan,Alan
anthropic/claude-sonnet-4,7,4.0,Albert,Albert
anthropic/claude-sonnet-4,7,4.0,Alan,Albert
anthropic/claude-sonnet-4,7,5.0,Albert,Albert
anthropic/claude-sonnet-4,7,5.0,Alan,Alan
anthropic/claude-sonnet-4,7,5.0,Albert,Albert
anthropic/claude-sonnet-4,7,6.0,Adriana,Adriana
anthropic/claude-sonnet-4,7,6.0,Albert,Albert
anthropic/claude-sonnet-4,7,6.0,Albert,Albert
anthropic/claude-sonnet-4,7,7.0,Alan,Alan
anthropic/claude-sonnet-4,7,7.0,Albert,Albert
anthropic/claude-sonnet-4,7,7.0,Albert,Albert
anthropic/claude-sonnet-4,7,8.0,Albert,Albert
anthropic/claude-sonnet-4,7,8.0,Albert,Albert
anthropic/claude-sonnet-4,7,8.0,Albert,Albert
anthropic/claude-sonnet-4,7,9.0,Albert,Albert
anthropic/claude-sonnet-4,7,9.0,Albert,Albert
