size,density,text,query,answer
3,1,Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
3,1,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
3,1,Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Aaron? Only name, one name, nothing else.",Aaron
3,2,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Aaron? Only name, one name, nothing else.",Aaron
3,2,Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Aaron? Only name, one name, nothing else.",Aaron
3,2,Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Abigail? Only name, one name, nothing else.",Abigail
3,3,Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
3,3,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
3,3,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Aaron? Only name, one name, nothing else.",Adam
3,4,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Abigail? Only name, one name, nothing else.",Adam
3,4,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Abigail? Only name, one name, nothing else.",Adam
3,4,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Aaron? Only name, one name, nothing else.",Adam
3,5,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
3,5,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Aaron? Only name, one name, nothing else.",Aaron
3,5,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Aaron? Only name, one name, nothing else.",Aaron
3,6,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
3,6,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Abigail? Only name, one name, nothing else.",Adam
3,6,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Abigail? Only name, one name, nothing else.",Adam
3,7,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
3,7,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Aaron? Only name, one name, nothing else.",Aaron
3,7,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Abigail? Only name, one name, nothing else.",Adam
3,8,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Abigail? Only name, one name, nothing else.",Adam
3,8,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
3,8,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Aaron? Only name, one name, nothing else.",Adam
3,9,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Aaron? Only name, one name, nothing else.",Aaron
3,9,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
3,9,Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Aaron? Only name, one name, nothing else.",Adam
5,1,Adriana is parent for Adrian. Adrian is parent for Adam. Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Adrian? Only name, one name, nothing else.",Adrian
5,1,Adriana is parent for Adrian. Adrian is parent for Adam. Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Adam? Only name, one name, nothing else.",Adam
5,1,Adriana is parent for Adrian. Adrian is parent for Adam. Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Adrian? Only name, one name, nothing else.",Adrian
5,2,Adriana is parent for Adrian. Adrian is parent for Adam. Adam is parent for Abigail and Aaron. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Aaron? Only name, one name, nothing else.",Adam
5,2,Adriana is parent for Adrian. Adrian is parent for Adam. Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Adam? Only name, one name, nothing else.",Adam
5,2,Adriana is parent for Adrian. Adrian is parent for Adam and Abigail and Aaron. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Aaron? Only name, one name, nothing else.",Adrian
5,3,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Adrian? Only name, one name, nothing else.",Adrian
5,3,Adriana is parent for Adrian and Adam. Adrian is parent for Abigail and Aaron. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Aaron? Only name, one name, nothing else.",Adrian
5,3,Adriana is parent for Adrian. Adrian is parent for Adam and Abigail and Aaron. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Abigail? Only name, one name, nothing else.",Adrian
5,4,Adriana is parent for Adrian and Adam and Abigail. Adrian is parent for Aaron. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Adam? Only name, one name, nothing else.",Adam
5,4,Adriana is parent for Adrian and Adam and Abigail. Adrian is parent for Aaron. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Adrian? Only name, one name, nothing else.",Adriana
5,4,Adriana is parent for Adrian and Adam and Abigail. Adrian is parent for Aaron. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Aaron? Only name, one name, nothing else.",Adrian
5,5,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Abigail? Only name, one name, nothing else.",Adriana
5,5,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Adam? Only name, one name, nothing else.",Adriana
5,5,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Adrian? Only name, one name, nothing else.",Adrian
5,6,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Adrian? Only name, one name, nothing else.",Adriana
5,6,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Adrian? Only name, one name, nothing else.",Adriana
5,6,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Adrian? Only name, one name, nothing else.",Adriana
5,7,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
5,7,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Adrian? Only name, one name, nothing else.",Adriana
5,7,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Aaron? Only name, one name, nothing else.",Adriana
5,8,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Abigail? Only name, one name, nothing else.",Adriana
5,8,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Adam? Only name, one name, nothing else.",Adam
5,8,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Abigail and Abigail? Only name, one name, nothing else.",Abigail
5,9,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Adam? Only name, one name, nothing else.",Adriana
5,9,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Aaron? Only name, one name, nothing else.",Adriana
5,9,Adriana is parent for Adrian and Adam and Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Aaron? Only name, one name, nothing else.",Adriana
7,1,Albert is parent for Alan and Adriana. Alan is parent for Adrian and Adam. Adriana is parent for Abigail. Adrian is parent for Aaron. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adriana and Adriana? Only name, one name, nothing else.",Adriana
7,1,Albert is parent for Alan and Adriana and Adrian. Alan is parent for Adam. Adriana is parent for Abigail. Adrian is parent for Aaron. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adriana and Adam? Only name, one name, nothing else.",Albert
7,1,Albert is parent for Alan. Alan is parent for Adriana. Adriana is parent for Adrian. Adrian is parent for Adam. Adam is parent for Abigail. Abigail is parent for Aaron. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Adriana? Only name, one name, nothing else.",Adriana
7,2,Albert is parent for Alan and Adriana and Adrian. Alan is parent for Adam and Abigail. Adriana is parent for Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Adam? Only name, one name, nothing else.",Alan
7,2,Albert is parent for Alan and Adriana. Alan is parent for Adrian and Adam. Adriana is parent for Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Adrian? Only name, one name, nothing else.",Albert
7,2,Albert is parent for Alan. Alan is parent for Adriana. Adriana is parent for Adrian and Adam and Abigail. Adrian is parent for Aaron. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Alan? Only name, one name, nothing else.",Alan
7,3,Albert is parent for Alan and Adriana and Adrian. Alan is parent for Adam and Abigail and Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Adam? Only name, one name, nothing else.",Alan
7,3,Albert is parent for Alan. Alan is parent for Adriana and Adrian and Adam. Adriana is parent for Abigail and Aaron. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Adam? Only name, one name, nothing else.",Alan
7,3,Albert is parent for Alan and Adriana. Alan is parent for Adrian and Adam and Abigail and Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adriana and Adam? Only name, one name, nothing else.",Albert
7,4,Albert is parent for Alan and Adriana. Alan is parent for Adrian and Adam and Abigail and Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Aaron? Only name, one name, nothing else.",Alan
7,4,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Alan? Only name, one name, nothing else.",Albert
7,4,Albert is parent for Alan and Adriana. Alan is parent for Adrian and Adam and Abigail and Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Adriana? Only name, one name, nothing else.",Albert
7,5,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adrian and Alan? Only name, one name, nothing else.",Albert
7,5,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail. Alan is parent for Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Alan? Only name, one name, nothing else.",Alan
7,5,Albert is parent for Alan and Adriana and Adrian and Adam. Alan is parent for Abigail and Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adam and Abigail? Only name, one name, nothing else.",Albert
7,6,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail. Alan is parent for Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Adriana and Adriana? Only name, one name, nothing else.",Adriana
7,6,Albert is parent for Alan and Adriana and Adrian and Adam and Abigail and Aaron. Alan is parent for no one. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Aaron? Only name, one name, nothing else.",Albert
7,6,Albert is parent for Alan and Adriana and Adrian and Adam. Alan is parent for Abigail and Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Aaron and Adrian? Only name, one name, nothing else.",Albert
7,7,Albert is parent for Alan and Adriana. Alan is parent for Adrian and Adam and Abigail and Aaron. Adriana is parent for no one. Adrian is parent for no one. Adam is parent for no one. Abigail is parent for no one. Aaron is parent for no one,"Who is lowest (youngest) common ancestor for Alan and Alan? Only name, one name, nothing else.",Alan
